2024-12-12,10:42:54,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
2.0305355242e-04,1.5601080801e-04,2.5606662681e-04,3.7535920936e+01,1.0000003052e+07,1.0819744703e-04,1.7595936661e-04,2.0305355242e-04,1.5601080801e-04,2.5606662681e-04,3.7535920936e+01,2.0305355242e-04,1.5601080801e-04,2.5606662681e-04,3.7535920936e+01,2.0305355242e-04,1.5601080801e-04,2.5606662681e-04,3.7535920936e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
1.9258373112e-04,1.5243687552e-04,2.4561248851e-04,3.8362871086e+01,1.0000003052e+07,1.0820291557e-04,1.7595839142e-04,1.9258373112e-04,1.5243687552e-04,2.4561248851e-04,3.8362871086e+01,1.9258373112e-04,1.5243687552e-04,2.4561248851e-04,3.8362871086e+01,1.9258373112e-04,1.5243687552e-04,2.4561248851e-04,3.8362871086e+01,-6.2501907814e-04,3.1250953907e-04,-9.3752861721e-04,-1.2500381563e-03
1.8352085274e-04,1.4998182315e-04,2.3701149901e-04,3.9257303496e+01,1.0000003052e+07,1.0820754542e-04,1.7595754946e-04,1.8352085274e-04,1.4998182315e-04,2.3701149901e-04,3.9257303496e+01,1.8352085274e-04,1.4998182315e-04,2.3701149901e-04,3.9257303496e+01,1.8352085274e-04,1.4998182315e-04,2.3701149901e-04,3.9257303496e+01,3.1250953907e-04,9.3752861721e-04,0.0000000000e+00,-6.2501907814e-04
1.7547512687e-04,1.4863927806e-04,2.2996772628e-04,4.0266854461e+01,1.0000003052e+07,1.0821144750e-04,1.7595672555e-04,1.7547512687e-04,1.4863927806e-04,2.2996772628e-04,4.0266854461e+01,1.7547512687e-04,1.4863927806e-04,2.2996772628e-04,4.0266854461e+01,1.7547512687e-04,1.4863927806e-04,2.2996772628e-04,4.0266854461e+01,0.0000000000e+00,6.2501907814e-04,-6.2501907814e-04,-9.3752861721e-04
1.6819175953e-04,1.4778081579e-04,2.2389202194e-04,4.1303991482e+01,1.0000003052e+07,1.0821469945e-04,1.7595580852e-04,1.6819175953e-04,1.4778081579e-04,2.2389202194e-04,4.1303991482e+01,1.6819175953e-04,1.4778081579e-04,2.2389202194e-04,4.1303991482e+01,1.6819175953e-04,1.4778081579e-04,2.2389202194e-04,4.1303991482e+01,-3.1250953907e-04,0.0000000000e+00,-1.2500381563e-03,-1.5625476371e-03
1.6207450185e-04,1.4695828600e-04,2.1878044239e-04,4.2199635046e+01,1.0000003052e+07,1.0821964906e-04,1.7595342919e-04,1.6207450185e-04,1.4695828600e-04,2.1878044239e-04,4.2199635046e+01,1.6207450185e-04,1.4695828600e-04,2.1878044239e-04,4.2199635046e+01,1.6207450185e-04,1.4695828600e-04,2.1878044239e-04,4.2199635046e+01,0.0000000000e+00,6.2501907814e-04,-3.1250953907e-04,-9.3752861721e-04
1.5765919692e-04,1.4592431418e-04,2.1482627363e-04,4.2786363096e+01,1.0000003052e+07,1.0822165054e-04,1.7595200555e-04,1.5765919692e-04,1.4592431418e-04,2.1482627363e-04,4.2786363096e+01,1.5765919692e-04,1.4592431418e-04,2.1482627363e-04,4.2786363096e+01,1.5765919692e-04,1.4592431418e-04,2.1482627363e-04,4.2786363096e+01,0.0000000000e+00,0.0000000000e+00,-6.2501907814e-04,-1.2500381563e-03
1.5476087467e-04,1.4443656163e-04,2.1169045483e-04,4.3023699845e+01,1.0000003052e+07,1.0822355735e-04,1.7595057430e-04,1.5476087467e-04,1.4443656163e-04,2.1169045483e-04,4.3023699845e+01,1.5476087467e-04,1.4443656163e-04,2.1169045483e-04,4.3023699845e+01,1.5476087467e-04,1.4443656163e-04,2.1169045483e-04,4.3023699845e+01,6.2501907814e-04,1.2500381563e-03,3.1250953907e-04,0.0000000000e+00
1.5263690711e-04,1.4224441838e-04,2.0864203788e-04,4.2981566291e+01,1.0000003052e+07,1.0822549350e-04,1.7594928741e-04,1.5263690711e-04,1.4224441838e-04,2.0864203788e-04,4.2981566291e+01,1.5263690711e-04,1.4224441838e-04,2.0864203788e-04,4.2981566291e+01,1.5263690711e-04,1.4224441838e-04,2.0864203788e-04,4.2981566291e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.8750572344e-03
1.5039242307e-04,1.3932770008e-04,2.0501241164e-04,4.2812878867e+01,1.0000003052e+07,1.0822750211e-04,1.7594828138e-04,1.5039242307e-04,1.3932770008e-04,2.0501241164e-04,4.2812878867e+01,1.5039242307e-04,1.3932770008e-04,2.0501241164e-04,4.2812878867e+01,1.5039242307e-04,1.3932770008e-04,2.0501241164e-04,4.2812878867e+01,-9.3752861721e-04,-9.3752861721e-04,-1.8750572344e-03,-2.1875668317e-03
1.4744981039e-04,1.3611401987e-04,2.0067006002e-04,4.2710757560e+01,1.0000003052e+07,1.0822953929e-04,1.7594764370e-04,1.4744981039e-04,1.3611401987e-04,2.0067006002e-04,4.2710757560e+01,1.4744981039e-04,1.3611401987e-04,2.0067006002e-04,4.2710757560e+01,1.4744981039e-04,1.3611401987e-04,2.0067006002e-04,4.2710757560e+01,3.1250953907e-04,6.2501907814e-04,-3.1250953907e-04,-9.3752861721e-04
1.4359973945e-04,1.3346374567e-04,1.9604452703e-04,4.2904848928e+01,1.0000003052e+07,1.0823151046e-04,1.7594738395e-04,1.4359973945e-04,1.3346374567e-04,1.9604452703e-04,4.2904848928e+01,1.4359973945e-04,1.3346374567e-04,1.9604452703e-04,4.2904848928e+01,1.4359973945e-04,1.3346374567e-04,1.9604452703e-04,4.2904848928e+01,0.0000000000e+00,0.0000000000e+00,-6.2501907814e-04,-1.2500381563e-03
1.3884406258e-04,1.3192147629e-04,1.9152271307e-04,4.3535457394e+01,1.0000003052e+07,1.0823331457e-04,1.7594743678e-04,1.3884406258e-04,1.3192147629e-04,1.9152271307e-04,4.3535457394e+01,1.3884406258e-04,1.3192147629e-04,1.9152271307e-04,4.3535457394e+01,1.3884406258e-04,1.3192147629e-04,1.9152271307e-04,4.3535457394e+01,-3.1250953907e-04,3.1250953907e-04,-9.3752861721e-04,-1.2500381563e-03
1.3332688868e-04,1.3119063009e-04,1.8704823086e-04,4.4537289558e+01,1.0000003052e+07,1.0823614198e-04,1.7594814688e-04,1.3332688868e-04,1.3119063009e-04,1.8704823086e-04,4.4537289558e+01,1.3332688868e-04,1.3119063009e-04,1.8704823086e-04,4.4537289558e+01,1.3332688868e-04,1.3119063009e-04,1.8704823086e-04,4.4537289558e+01,-6.2501907814e-04,-3.1250953907e-04,-1.2500381563e-03,-1.5625476371e-03
1.2747790564e-04,1.3087633458e-04,1.8269983957e-04,4.5753637064e+01,1.0000003052e+07,1.0823712629e-04,1.7594865971e-04,1.2747790564e-04,1.3087633458e-04,1.8269983957e-04,4.5753637064e+01,1.2747790564e-04,1.3087633458e-04,1.8269983957e-04,4.5753637064e+01,1.2747790564e-04,1.3087633458e-04,1.8269983957e-04,4.5753637064e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-1.2500381563e-03
1.2171619297e-04,1.3071983189e-04,1.7861272654e-04,4.7042707075e+01,1.0000003052e+07,1.0823785646e-04,1.7594917934e-04,1.2171619297e-04,1.3071983189e-04,1.7861272654e-04,4.7042707075e+01,1.2171619297e-04,1.3071983189e-04,1.7861272654e-04,4.7042707075e+01,1.2171619297e-04,1.3071983189e-04,1.7861272654e-04,4.7042707075e+01,3.1250953907e-04,9.3752861721e-04,-3.1250953907e-04,-6.2501907814e-04
