2024-12-09,15:59:42,Sample Rate(S):,0.010
X,Y,R,Theta,Frequency,X Noise,Y Noise,XD1,YD1,RD1,Theta D1,XD2,YD2,RD2,Theta D2,XD3,YD3,RD3,Theta D3,ADC1,ADC2,ADC3,ADC4
7.1601690517e-05,1.2240267570e-04,1.4180697128e-04,5.9673721870e+01,1.0000003052e+07,6.1666589558e-05,7.8746593561e-05,7.1601690517e-05,1.2240267570e-04,1.4180697128e-04,5.9673721870e+01,7.1601690517e-05,1.2240267570e-04,1.4180697128e-04,5.9673721870e+01,7.1601690517e-05,1.2240267570e-04,1.4180697128e-04,5.9673721870e+01,3.1250953907e-04,9.3752861721e-04,-3.1250953907e-04,-9.3752861721e-04
7.2296821714e-05,1.2135970938e-04,1.4126220121e-04,5.9216756977e+01,1.0000003052e+07,6.1670803794e-05,7.8751598094e-05,7.2296821714e-05,1.2135970938e-04,1.4126220121e-04,5.9216756977e+01,7.2296821714e-05,1.2135970938e-04,1.4126220121e-04,5.9216756977e+01,7.2296821714e-05,1.2135970938e-04,1.4126220121e-04,5.9216756977e+01,-3.1250953907e-04,3.1250953907e-04,-3.1250953907e-04,-9.3752861721e-04
7.2427607357e-05,1.2121239723e-04,1.4120270376e-04,5.9140572740e+01,1.0000003052e+07,6.1674981839e-05,7.8756722283e-05,7.2427607357e-05,1.2121239723e-04,1.4120270376e-04,5.9140572740e+01,7.2427607357e-05,1.2121239723e-04,1.4120270376e-04,5.9140572740e+01,7.2427607357e-05,1.2121239723e-04,1.4120270376e-04,5.9140572740e+01,-3.1250953907e-04,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
7.1726411466e-05,1.2222642247e-04,1.4171794682e-04,5.9594217715e+01,1.0000003052e+07,6.1683512438e-05,7.8766834275e-05,7.1726411466e-05,1.2222642247e-04,1.4171794682e-04,5.9594217715e+01,7.1726411466e-05,1.2222642247e-04,1.4171794682e-04,5.9594217715e+01,7.1726411466e-05,1.2222642247e-04,1.4171794682e-04,5.9594217715e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-9.3752861721e-04
7.0234463769e-05,1.2375242218e-04,1.4229385755e-04,6.0423355793e+01,1.0000003052e+07,6.1688032392e-05,7.8771660029e-05,7.0234463769e-05,1.2375242218e-04,1.4229385755e-04,6.0423355793e+01,7.0234463769e-05,1.2375242218e-04,1.4229385755e-04,6.0423355793e+01,7.0234463769e-05,1.2375242218e-04,1.4229385755e-04,6.0423355793e+01,0.0000000000e+00,3.1250953907e-04,-3.1250953907e-04,-6.2501907814e-04
6.8684176191e-05,1.2496052337e-04,1.4259259609e-04,6.1204741717e+01,1.0000003052e+07,6.1692770586e-05,7.8776380809e-05,6.8684176191e-05,1.2496052337e-04,1.4259259609e-04,6.1204741717e+01,6.8684176191e-05,1.2496052337e-04,1.4259259609e-04,6.1204741717e+01,6.8684176191e-05,1.2496052337e-04,1.4259259609e-04,6.1204741717e+01,-1.8750572344e-03,-9.3752861721e-04,-2.1875668317e-03,-2.8125857934e-03
6.7983788030e-05,1.2570455302e-04,1.4291056674e-04,6.1594506792e+01,1.0000003052e+07,6.1697644089e-05,7.8781072540e-05,6.7983788030e-05,1.2570455302e-04,1.4291056674e-04,6.1594506792e+01,6.7983788030e-05,1.2570455302e-04,1.4291056674e-04,6.1594506792e+01,6.7983788030e-05,1.2570455302e-04,1.4291056674e-04,6.1594506792e+01,3.1250953907e-04,9.3752861721e-04,-6.2501907814e-04,-6.2501907814e-04
6.8347588262e-05,1.2631479061e-04,1.4362039948e-04,6.1582656519e+01,1.0000003052e+07,6.1702517148e-05,7.8785778882e-05,6.8347588262e-05,1.2631479061e-04,1.4362039948e-04,6.1582656519e+01,6.8347588262e-05,1.2631479061e-04,1.4362039948e-04,6.1582656519e+01,6.8347588262e-05,1.2631479061e-04,1.4362039948e-04,6.1582656519e+01,0.0000000000e+00,3.1250953907e-04,-6.2501907814e-04,-1.2500381563e-03
6.9408722560e-05,1.2704671276e-04,1.4477029388e-04,6.1351147042e+01,1.0000003052e+07,6.1707272495e-05,7.8790493852e-05,6.9408722560e-05,1.2704671276e-04,1.4477029388e-04,6.1351147042e+01,6.9408722560e-05,1.2704671276e-04,1.4477029388e-04,6.1351147042e+01,6.9408722560e-05,1.2704671276e-04,1.4477029388e-04,6.1351147042e+01,-3.1250953907e-04,0.0000000000e+00,-9.3752861721e-04,-1.5625476371e-03
7.0582464201e-05,1.2768855784e-04,1.4589808791e-04,6.1067483168e+01,1.0000003052e+07,6.1711846268e-05,7.8795193223e-05,7.0582464201e-05,1.2768855784e-04,1.4589808791e-04,6.1067483168e+01,7.0582464201e-05,1.2768855784e-04,1.4589808791e-04,6.1067483168e+01,7.0582464201e-05,1.2768855784e-04,1.4589808791e-04,6.1067483168e+01,-6.2501907814e-04,0.0000000000e+00,-6.2501907814e-04,-1.2500381563e-03
